,caseid,person_id,arrest_date,dispos_date,treat,re_arrest,prior_arrests,age
0,4,3715,2012-03-26,2012-04-10,1,0,2,31.0
1,5,12086,2013-03-28,2013-06-17,0,0,7,39.0
2,10,6849,2012-01-15,2012-07-10,1,0,2,27.0
3,19737,6849,2012-12-14,2013-04-10,0,0,3,28.0
4,27350,6849,2013-06-01,2015-08-01,1,1,4,28.0
5,75063,6849,2013-10-27,2014-01-31,1,0,5,29.0
6,12,7403,2012-09-28,2012-11-05,0,0,6,37.0
7,5409,7403,2013-08-29,2013-12-13,1,0,7,38.0
8,19,7821,2013-09-28,2013-10-18,1,0,2,31.0
9,5244,7821,2012-12-13,2013-04-13,0,0,1,30.0
10,20,14458,2012-08-24,2012-12-09,1,0,9,44.0
11,79629,14458,2012-05-15,2012-12-10,1,1,8,44.0
12,23,13273,2013-08-20,2014-04-16,1,0,7,32.0
13,69131,13273,2012-12-22,2013-10-30,0,1,6,31.0
14,25,16497,2012-04-26,2013-01-03,1,1,3,27.0
15,18699,16497,2012-12-13,2013-03-27,1,0,4,28.0
16,66266,16497,2012-01-23,2012-02-10,1,0,2,27.0
17,26,15901,2012-10-30,2013-01-16,0,0,1,32.0
18,30,18761,2012-07-08,2012-09-09,1,0,7,42.0
19,77247,18761,2012-10-18,2013-05-12,1,0,8,42.0
20,36,16286,2013-07-20,2013-12-29,1,0,11,51.0
21,39252,16286,2013-06-21,2014-04-28,1,1,10,51.0
22,37,17290,2012-01-30,2012-07-25,1,1,2,24.0
23,36830,17290,2012-04-16,2014-02-01,0,0,3,24.0
24,39,2101,2013-02-04,2013-04-02,0,1,2,23.0
25,24901,2101,2013-09-02,2013-09-26,1,0,4,24.0
26,64688,2101,2012-10-28,2013-03-12,0,1,1,23.0
27,70495,2101,2013-02-06,2013-03-01,0,0,3,23.0
28,40,15175,2013-10-22,2014-01-20,1,0,6,29.0
29,39331,15175,2013-01-27,2014-02-02,0,1,5,28.0
30,45,8015,2012-10-23,2012-12-15,0,0,4,25.0
31,22257,8015,2012-05-10,2013-04-22,0,1,3,25.0
32,37635,8015,2013-08-07,2013-12-20,0,0,5,26.0
33,48,1178,2012-07-15,2012-10-06,0,1,4,23.0
34,56965,1178,2012-09-30,2012-10-09,0,0,6,23.0
35,75976,1178,2012-05-07,2014-01-12,0,1,3,23.0
36,96038,1178,2012-09-21,2013-01-24,0,1,5,23.0
37,51,1697,2013-06-04,2013-07-28,0,0,4,30.0
38,5352,1697,2012-02-19,2012-07-08,1,0,3,29.0
39,52,19486,2012-01-10,2012-01-18,1,0,5,30.0
40,43990,19486,2013-05-20,2013-05-22,1,0,6,31.0
41,53,17554,2012-11-16,2013-07-16,1,1,5,43.0
42,10004,17554,2013-09-30,2014-09-09,1,0,8,44.0
43,60551,17554,2013-03-16,2013-10-15,1,1,7,43.0
44,70898,17554,2012-12-19,2013-02-20,0,0,6,43.0
45,56,5850,2013-03-27,2013-07-20,1,1,3,29.0
46,5771,5850,2012-03-10,2012-07-03,0,0,2,28.0
47,7933,5850,2013-10-22,2015-03-20,0,0,5,30.0
48,50468,5850,2013-06-21,2013-06-27,1,0,4,29.0
49,61,10610,2013-08-16,2014-01-08,1,0,3,29.0
50,95014,10610,2012-05-08,2012-07-23,0,0,2,28.0
51,64,7006,2013-06-05,2015-01-19,0,0,5,33.0
52,68,18285,2012-07-27,2013-02-21,0,0,5,33.0
53,11535,18285,2012-05-07,2012-10-31,0,1,4,33.0
54,73,5328,2012-02-22,2012-03-13,1,0,0,33.0
55,77445,5328,2012-05-09,2012-08-12,0,1,1,33.0
56,99856,5328,2012-06-08,2012-10-16,0,0,2,33.0
57,77,7057,2013-06-29,2014-08-26,1,0,10,49.0
58,21652,7057,2013-05-04,2014-03-04,1,1,9,49.0
59,87,6783,2013-06-27,2014-06-02,1,0,5,30.0
60,68722,6783,2013-03-31,2013-04-27,1,0,4,29.0
61,82873,6783,2012-10-15,2013-01-25,0,0,3,29.0
62,96,17191,2012-01-28,2012-11-20,0,1,7,32.0
63,2874,17191,2012-01-27,2013-08-08,1,1,6,32.0
64,20109,17191,2013-05-27,2013-10-09,1,1,10,33.0
65,62475,17191,2012-11-27,2014-05-08,1,1,9,33.0
66,67043,17191,2013-08-11,2014-02-06,1,0,11,34.0
67,69155,17191,2012-10-08,2012-10-10,1,0,8,33.0
68,101,8164,2013-09-24,2014-01-07,1,0,3,26.0
69,19694,8164,2012-07-06,2012-10-07,0,0,2,25.0
70,110,949,2012-04-07,2012-06-06,1,0,3,17.0
71,5005,949,2012-06-23,2012-06-29,1,0,4,17.0
72,112,781,2013-08-17,2013-09-20,0,0,0,18.0
73,113,5451,2013-03-07,2013-08-10,1,0,4,43.0
74,115,4531,2012-03-15,2012-05-24,0,0,2,26.0
75,95532,4531,2012-09-01,2014-04-18,0,0,3,26.0
76,119,11194,2012-09-19,2013-03-12,0,0,2,15.0
77,87066,11194,2013-09-24,2015-03-28,0,0,3,16.0
78,127,2439,2012-11-05,2013-03-27,1,0,5,27.0
79,518,2439,2012-03-30,2012-04-13,1,0,2,26.0
80,14295,2439,2012-10-26,2012-11-21,1,1,4,27.0
81,29118,2439,2012-10-05,2012-12-23,0,1,3,27.0
82,129,18432,2013-07-10,2015-04-04,1,0,5,29.0
83,25616,18432,2013-02-14,2014-11-12,0,1,4,29.0
84,138,5132,2012-10-31,2012-12-01,1,0,8,34.0
85,5799,5132,2012-10-15,2012-11-15,1,1,7,34.0
86,52784,5132,2012-01-23,2012-02-01,0,0,6,33.0
87,81653,5132,2012-01-03,2013-04-13,1,1,5,33.0
88,145,16633,2012-03-27,2013-05-21,1,1,4,33.0
89,72500,16633,2013-03-28,2013-10-05,1,0,5,34.0
90,153,11928,2013-08-12,2013-12-02,0,0,2,25.0
91,159,3356,2013-08-23,2014-07-03,1,0,3,32.0
92,160,13704,2012-07-12,2012-08-04,1,0,5,29.0
93,66202,13704,2012-07-06,2012-11-29,0,1,4,29.0
94,95909,13704,2013-01-21,2013-08-17,1,0,6,30.0
95,99144,13704,2012-04-15,2012-04-19,0,0,3,29.0
96,164,10816,2012-07-10,2012-11-05,1,0,2,30.0
97,77386,10816,2013-10-28,2014-02-26,1,0,3,31.0
98,168,19991,2012-06-17,2012-09-30,1,0,1,25.0
99,26947,19991,2013-04-11,2015-01-08,1,0,3,26.0
100,30144,19991,2013-02-25,2013-03-10,1,0,2,26.0
101,174,12065,2012-04-05,2013-02-02,1,1,6,27.0
102,10063,12065,2012-12-13,2013-01-14,1,0,7,28.0
103,182,5589,2012-03-25,2012-04-10,1,0,4,34.0
104,184,7372,2012-05-11,2012-09-24,0,0,2,21.0
105,191,16769,2012-05-17,2012-06-28,1,0,3,33.0
106,3040,16769,2012-03-05,2012-04-27,0,0,2,33.0
107,44608,16769,2012-09-12,2013-10-23,1,0,4,34.0
108,192,2863,2012-04-24,2012-11-02,0,0,0,23.0
109,194,12249,2013-07-28,2013-11-16,1,1,7,36.0
110,16213,12249,2013-09-21,2014-05-16,1,0,8,36.0
111,204,494,2012-07-18,2012-07-31,1,0,3,34.0
112,209,18364,2012-12-07,2014-03-07,0,0,1,23.0
113,222,9479,2012-03-10,2013-05-07,1,1,3,25.0
114,19700,9479,2013-03-27,2014-08-03,0,0,5,26.0
115,33176,9479,2013-01-18,2013-03-31,0,1,4,26.0
116,223,11608,2013-09-03,2013-11-15,1,0,5,30.0
